账单行号,单号,快递公司,目的地省,账单重量,账单快递费,账单操作费,账单金额,商家ID,在订单中,订单快递,订单省份,订单重量,理论重量,理论快递费,理论总费用,费用差异,重量匹配,状态
166,435180883979865,韵达快递,安徽省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,安徽省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
167,435181373495975,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
168,435180883180667,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
169,435180904044408,韵达快递,上海市,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,上海,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
170,428187753746850,韵达快递,山东省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,山东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
171,435183489067014,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
172,435183039119228,韵达快递,海南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,海南省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
173,435183058417047,韵达快递,内蒙古自治区,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,内蒙古自治区,1,1,2.8,3.7,0,一致,金额一致
174,321145349014011,韵达快递,安徽省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
175,321144627153544,韵达快递,山东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,山东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
176,435184751760329,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
177,435184188902162,韵达快递,湖北省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖北省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
178,435185128356612,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
